h2	[H][H]
iic4h7q2-t	C[C](COO)COO	! Confirmed by Pierre
tc4h8cho	[CH2]C(C)(C)C=O	! Confirmed by Pierre
ic4h8o	[CH2]C(C)C[O]	! Confirmed by Pierre
ic4h7ooh	C=C(C)COO	! Confirmed by Pierre
tic4h7q2-i	[CH2]C(C)(COO)OO	! Confirmed by Pierre
o2c4h8cho	CC(C)(C=O)CO[O]	! Confirmed by Pierre
o2hc4h8co	CC(C)([C]=O)COO	! Confirmed by Pierre
hcoh	[CH]O	! Confirmed by Pierre
cc3h4	C1=CC1	! Confirmed by Pierre
sc3h5co	CC=C[C]=O	! Confirmed by Pierre
h2c4o	C=C=C=C=O	! Confirmed by Pierre
ic4h8oh	C[C](C)CO	! Confirmed by Pierre
c4h6o25	C1=CCOC1	! Confirmed by Pierre

